name,preprocessed_ALL
Eleclazine,Eleclazine Eleclazine used trial studying treatment LQT2 Syndrome Long QT Syndrome Ischemic Heart Disease Ventricular Arrhythmia Long QT Syndrome Type among others compound belongs class organic compound known benzoxazepines organic compound containing benzene fused oxazepine ring seven-membered ring four carbon atom one oxygen atom nitrogen atom
DSM-265,DSM- DSM265 used trial studying prevention treatment Malaria compound belongs class organic compound known triazolopyrimidines polycyclic aromatic compound containing triazole ring fused pyrimidine ring Triazole five-membered ring consisting two carbon atom three nitrogen atom Pyrimidine -membered ring consisting four carbon atom two nitrogen center-- - ring position
Polmacoxib,Polmacoxib Polmacoxib used trial studying treatment Osteoarthritis Osteoarthritis Hip Osteoarthritis Knee Localized Primary Osteoarthritis Hip Localized Primary Osteoarthritis Knee compound belongs class organic compound known stilbenes organic compound containing -diphenylethylene moiety Stilbenes C6-C2-C6 derived common phenylpropene C6-C3 skeleton building block introduction one hydroxyl group phenyl ring lead stilbenoids
Voxtalisib,Voxtalisib Voxtalisib used trial studying treatment Cancer Melanoma Lymphoma Glioblastoma Breast Cancer among others compound belongs class organic compound known pyrazolylpyridines compound containing pyrazolylpyridine skeleton consists pyrazole linked fused pyridine bond
Bromperidol,Bromperidol Bromperidol used trial studying treatment Dementia Depression Schizophrenia Anxiety Disorders Psychosomatic Disorders among others compound belongs class organic compound known alkyl-phenylketones aromatic compound containing ketone substituted one alkyl group phenyl group
Pumosetrag,Pumosetrag Pumosetrag used trial studying Gastroesophageal Reflux Disease compound belongs class organic compound known thienopyridines heterocyclic compound containing thiophene ring fused pyridine ring Thiophene -membered ring consisting four carbon atom one sulfur atom Pyridine -membered ring consisting five carbon atom one nitrogen center
Samarium,Samarium Samarium used trial studying treatment prevention Pain Cancer Metastasis Prostate Cancer Metastatic Osteosarcoma among others compound belongs class inorganic compound known homogeneous lanthanide compound inorganic compound containing metal atom largest atom lanthanide atom
Remimazolam,Remimazolam Remimazolam ultra short-acting benzodiazepine used induction maintenance sedation short minute procedure L14647 Recent trend anesthesia-related drug development touted benefit so-called soft drug-- agent remifentanil designed metabolically fragile thus susceptible rapid biotransformation elimination inactive metabolite A214857 soft drug useful context surgical procedure wherein rapid onsetoffset desirable enabling anesthesiologist manipulate drug concentration needed A214852 A214857 Remimazolam first soft benzodiazepine analog developedA214862 approved use FDA July brand name Byfavo L14722 compound belongs class organic compound known -benzodiazepines organic compound containing benzene ring fused -azepine Remimazolam indicated induction maintenance procedural sedation adult undergoing procedure lasting minute le L14647
Triciribine,Triciribine Triciribine used trial studying treatment Leukemia Ovarian Cancer HER2Neu Negative Breast Adenocarcinoma Stage IV Breast Cancer among others compound belongs class organic compound known glycosylamines compound consisting amine beta-N-glycosidic bond carbohydrate thus forming cyclic hemiaminal ether bond alpha-amino ether
Iobitridol,Iobitridol Iobitridol used trial studying diagnostic Diagnostic Imaging Coronary Artery Disease Type Diabetes Mellitus Coronary Atherosclerosis compound belongs class organic compound known -halobenzoic acid derivative benzoic acid derivative carrying halogen atom -position benzene ring
PF-03635659,PF- Pf03635659 used trial studying treatment Chronic Obstructive Pulmonary Disease compound belongs class organic compound known diphenylmethanes compound containing diphenylmethane moiety consists methane wherein two hydrogen atom replaced two phenyl group
Sabarubicin,Sabarubicin Sabarubicin used trial studying treatment Prostate Cancer Testicular Germ Cell Tumor Unspecified Adult Solid Tumor Protocol Specific compound belongs class organic compound known anthracyclines polyketides containing tetracenequinone ring structure sugar attached glycosidic linkage
Gemigliptin,Gemigliptin Gemigliptin investigation Type Diabetes Mellitus Gemigliptin investigated treatment Cancer Cisplatin Adverse Reaction compound belongs class organic compound known beta amino acid derivative amino acid -NH2 group attached beta carbon atom
Usistapide,Usistapide Usistapide used trial studying treatment Obesity Overweight Metabolic Diseases Nutrition Disorders Nutritional Metabolic Diseases compound belongs class organic compound known benzanilides aromatic compound containing anilide group carboxamide group substituted benzene ring general structure RNCOR-R R benzene
Galeterone,Galeterone Galeterone used trial studying treatment Prostate Cancer compound belongs class organic compound known androgen derivative -hydroxylated C19 steroid hormone known favor development masculine characteristic also show profound effect scalp body hair human
Anagliptin,Anagliptin Anagliptin investigation treatment LDL Cholesterol Coronary Disease Diabetes Mellitus Glycosylated Hemoglobin Dipeptidyl-Peptidase Inhibitors compound belongs class organic compound known alpha amino acid amide amide derivative alpha amino acid
Saccharin,Saccharin Saccharin investigated treatment Hypertension Hyperglycemia compound belongs class organic compound known benzothiazoles organic compound containing benzene fused thiazole ring five-membered ring four carbon atom one nitrogen atom one sulfur atom
HSD-016,HSD- Hsd investigation clinical trial NCT00838461 Study Evaluating Safety Pharmacokinetics PK Pharmacodynamices PD HSD- compound belongs class organic compound known phenylpiperazines compound containing phenylpiperazine skeleton consists piperazine bound phenyl group
Diazepinomicin,Diazepinomicin Diazepinomicin used trial studying treatment Glioblastoma Multiforme proprietary first-in-class small molecule potential treat multiple solid tumour like well known chemotherapeutics doxorubicin mitomycin-C Diazepinomicin natural product derived non-pathogenic micro-organism Discovered using Thallion-’ DECIPHER technology diazepinomicin completed preclinical study conducted National Cancer Institute Thallion establish safety efficacy animal vitro model compound belongs class organic compound known dibenzodiazepines compound containing dibenzodiazepine moiety consists two benzene connected diazepine ring
Sulforaphane,Sulforaphane Sulforaphane investigation treatment Autism Spectrum Disorder naturally occurring isothiocyanate found high concentration variety broccoli compound belongs class organic compound known sulfoxides compound containing sulfoxide functional group structure RSOR-R R-H
Fozivudine Tidoxil,Fozivudine Tidoxil Fozivudine Tidoxil used trial studying treatment HIV Infections compound belongs class organic compound known pyrimidones compound contain pyrimidine ring bear ketone Pyrimidine -membered ring consisting four carbon atom two nitrogen center-- - ring position
Liothyronine I-131,Liothyronine I- Liothyronine I- used trial studying treatment Tricuspid Atresia Heart Defects Congenital compound belongs class organic compound known phenylalanine derivative compound containing phenylalanine derivative thereof resulting reaction phenylalanine amino group carboxy group replacement hydrogen glycine heteroatom
